""|"52 week"|"Beta"|"CDP Score"|"Div/yield"|"EBITD margin"|"EPS"|"Employees"|"Inst. own"|"Mkt cap"|"Net profit margin"|"Open"|"Operating margin"|"P/E"|"Range"|"Return on average assets"|"Return on average equity"|"Shares"|"Vol / Avg."|"Vol."|"address"|"city"|"companyName"|"companySummary"|"exchange"|"management"|"state"|"symbol"|"website"|"zip"
"0"|"71.27 - 98.00"|"1.32"|"-"|"    -"|"-"|"1.58"|"13,893"|"90%"|"47.92B"|"18.38%"|"94.66"|"22.25%"|"60.28"|"94.16 - 95.22"|"8.02%"|"13.45%"|"500.21M"|"2.19M/3.66M"|""|"345 PARK AVE"|"SAN JOSE"|"Adobe Systems Incorporated"|""|" NASDAQ"|""|"CA"|"ADBE"|"http://www.adobe.com/"|"95110-2704"
"1"|"41.60 - 65.78"|"2.14"|"-"|"    -"|"-"|"-1.46"|"9,500"|"98%"|"13.28B"|"-5.74%"|"58.00"|"-1.50%"|"    -"|"57.44 - 58.52"|"-2.78%"|"-8.90%"|"224.49M"|"1.79M/1.81M"|""|"111 MCINNIS PKWY"|"SAN RAFAEL"|"Autodesk, Inc."|""|" NASDAQ"|""|"CA"|"ADSK"|"http://www.autodesk.com/"|"94903"
"2"|"22.62 - 39.93"|"0.97"|"-"|"0.26/0.75"|"-"|"1.20"|"7,300"|"72%"|"24.98B"|"11.76%"|"35.02"|"18.42%"|"28.89"|"34.34 - 35.07"|"4.32%"|"7.89%"|"735.00M"|"5.36M/5.88M"|""|"3100 OCEAN PARK BLVD"|"SANTA MONICA"|"Activision Blizzard, Inc."|""|" NASDAQ"|""|"CA"|"ATVI"|"http://www.activisionblizzard.com"|"90405"
"3"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"AirBnB"|""|""|""|""|""|""|""
"4"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Alteryx"|""|""|""|""|""|""|""
"5"|"92.00 - 134.54"|"1.01"|"-"|"0.52/1.89"|"-"|"9.41"|"110,000"|"59%"|"597.17B"|"24.20%"|"112.11"|"31.86%"|"11.67"|"109.73 - 112.30"|"25.23%"|"59.48%"|"5.54B"|"46.94M/31.65M"|""|"1 Infinite Loop"|"CUPERTINO"|"Apple Inc."|""|" NASDAQ"|""|"CA"|"AAPL"|"http://www.apple.com"|"95014-2083"
"6"|"7.40 - 12.88"|"0.85"|"-"|"0.05/1.92"|"-"|"0.82"|"4,640"|"88%"|"3.66B"|"16.31%"|"9.51"|"21.06%"|"11.48"|"9.35 - 9.54"|"9.46%"|"14.92%"|"401.10M"|"3.78M/5.75M"|""|"130 Holger Way"|"SAN JOSE"|"Brocade Communications Systems, Inc."|""|" NASDAQ"|""|"CA"|"BRCD"|"http://www.brocade.com/"|"95134"
"7"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Brist"|""|""|""|""|""|""|""
"8"|"22.46 - 29.90"|"1.31"|"-"|"0.26/3.73"|"-"|"2.02"|"71,833"|"78%"|"138.76B"|"26.39%"|"28.10"|"27.62%"|"13.82"|"27.73 - 28.13"|"11.25%"|"20.89%"|"5.03B"|"23.80M/21.94M"|""|"170 W Tasman Dr"|"SAN JOSE"|"Cisco Systems, Inc."|""|" NASDAQ"|""|"CA"|"CSCO"|"http://www.cisco.com"|"95134-1706"
"9"|"60.91 - 84.17"|"1.93"|"-"|"    -"|"-"|"2.00"|"9,500"|"99%"|"12.54B"|"14.51%"|"80.48"|"12.42%"|"40.20"|"79.30 - 80.85"|"9.67%"|"25.95%"|"153.98M"|"2.34M/1.29M"|""|"851 W Cypress Creek Rd"|"FORT LAUDERDALE"|"Citrix Systems, Inc."|""|" NASDAQ"|""|"FL"|"CTXS"|"https://www.citrix.com/"|"33309-2009"
